"","Title","Genre","Revenue (Millions)","Rating"
"122","The Dark Knight Rises","Action",448.13,8.5
"123","The Jungle Book","Adventure",364,7.5
"124","Transformers: Age of Extinction","Action",245.43,5.7
"125","Nerve","Adventure",38.56,6.6
"126","Mamma Mia!","Comedy",143.7,6.4
"127","The Revenant","Adventure",183.64,8
"128","Fences","Other",57.64,7.3
"129","Into the Woods","Adventure",128,6
"130","The Shallows","Other",55.12,6.4
"131","Whiplash","Other",13.09,8.5
"132","Furious 6","Action",238.67,7.1
"133","The Place Beyond the Pines","Crime",21.38,7.3
"134","No Country for Old Men","Crime",74.27,8.1
"135","The Great Gatsby","Other",144.81,7.3
"136","Shutter Island","Other",127.97,8.1
"137","Brimstone","Other",NA,7.1
"138","Star Trek","Action",257.7,8
"139","Diary of a Wimpy Kid","Comedy",64,6.2
"140","The Big Short","Other",70.24,7.8
"141","Room","Other",14.68,8.2
"142","Django Unchained","Other",162.8,8.4
"143","Ah-ga-ssi","Other",2.01,8.1
"144","The Edge of Seventeen","Comedy",14.26,7.4
"145","Watchmen","Action",107.5,7.6
"146","Superbad","Comedy",121.46,7.6
"147","Inferno","Action",34.26,6.2
"148","The BFG","Adventure",55.47,6.4
"149","The Hunger Games","Adventure",408,7.2
"150","White Girl","Other",0.2,5.8
"151","Sicario","Action",46.88,7.6
"152","Twin Peaks: The Missing Pieces","Other",NA,8.1
"153","Aliens vs Predator - Requiem","Action",41.8,4.7
"154","Pacific Rim","Action",101.79,7
"155","Crazy, Stupid, Love.","Comedy",84.24,7.4
"156","Scott Pilgrim vs. the World","Action",31.49,7.5
"157","Hot Fuzz","Action",23.62,7.9
"158","Mine","Other",NA,6
"159","Free Fire","Action",1.8,7
"160","X-Men: Days of Future Past","Action",233.91,8
"161","Jack Reacher: Never Go Back","Action",58.4,6.1
"162","Casino Royale","Action",167.01,8
"163","Twilight","Other",191.45,5.2
"164","Now You See Me 2","Action",65.03,6.5
"165","Woman in Gold","Other",33.31,7.3
"166","13 Hours","Action",52.82,7.3
"167","Spectre","Action",200.07,6.8
"168","Nightcrawler","Crime",32.28,7.9
"169","Kubo and the Two Strings","Animation",48.02,7.9
"170","Beyond the Gates","Adventure",NA,5.2
"171","Her","Other",25.56,8
"172","Frozen","Animation",400.74,7.5
"173","Tomorrowland","Action",93.42,6.5
"174","Dawn of the Planet of the Apes","Action",208.54,7.6
